|1|2|||EPF||||3|planejar e executar| as atividades necessárias ao desenvolvimento, aperfeiçoamento e alimentação dos sistemas de informação,
|||3||EPF|||||executar| as atividades necessárias ao desenvolvimento, aperfeiçoamento e alimentação dos sistemas de informação,
Especial||||APF|||||32|coordenar, planejar e executar| atividades necessárias ao desempenho do estabelecimento de ensino policial e auxiliares na gerência e administração dos meios e recursos do dpf;
||2|3|APF||||||executar| atividades necessárias ao desempenho do estabelecimento de ensino policial e auxiliares na gerência e administração dos meios e recursos do dpf;
||2||||PPF|||14|orientar| atividades necessárias a apoiar o desencadeamento de programas de formação, treinamento e especialização na área de identificação criminal e civil;
|||3|||PPF||||executar| atividades necessárias a apoiar o desencadeamento de programas de formação, treinamento e especialização na área de identificação criminal e civil;
Especial||||APF|EPF|PPF|||1|coordenar, planejar, fiscalizar e executar| atividades de polícia marítima, aeroportuária e de fronteira; 
|1|||APF||||||planejar, fiscalizar e executar| atividades de polícia marítima, aeroportuária e de fronteira; 
|1|2||APF|EPF|||||fiscalizar e executar| atividades de polícia marítima, aeroportuária e de fronteira; 
||2|3|APF|EPF|||||executar| atividades de polícia marítima, aeroportuária e de fronteira; 
|1|||||||PCF|0||atividades de nível superior, envolvendo coordenação e orientação dos trabalhos de equipes de peritos, análise das pesquisas periciais, bem como, o controle na aplicação de novas técnicas e procedimentos de trabalho,
Especial|1|2||||PPF|||1|coordenar e executar| as atividades de natureza técnico-científica no âmbito da identificação humana civil e criminal, de perito oficial, exclusivamente na execução das perícias papiloscópicas em local, em veículos, em materiais, em documentos e necropapiloscópicas e de representação facial humana (retratos falados, exames prosopográficos, reconstituição facial e projeção de envelhecimento), com a emissão dos correspondentes laudos com a emissão dos correspondentes laudos, e o gerenciamento dos sistemas nacionais de identificação de impressões papilares, de biometria facial, de informações e estatísticas criminais e de identificação civil e criminal,
|||3|||PPF||||executar| as atividades de natureza técnico-científica no âmbito da identificação humana civil e criminal, de perito oficial, exclusivamente na execução das perícias papiloscópicas em local, em veículos, em materiais, em documentos e necropapiloscópicas e de representação facial humana (retratos falados, exames prosopográficos, reconstituição facial e projeção de envelhecimento), com a emissão dos correspondentes laudos com a emissão dos correspondentes laudos, e o gerenciamento dos sistemas nacionais de identificação de impressões papilares, de biometria facial, de informações e estatísticas criminais e de identificação civil e criminal,
Especial||||APF|||||27|coordenar, planejar, supervisionar, controlar e executar| as atividades de gestão técnico-administrativas, suporte e apoio logístico à atividade de inteligência;
|1|||APF|EPF|||||planejar, supervisionar, controlar e executar| as atividades de gestão técnico-administrativas, suporte e apoio logístico à atividade de inteligência;
||2|||EPF|||||supervisionar e executar| as atividades de gestão técnico-administrativas, suporte e apoio logístico à atividade de inteligência;
|||3|APF|EPF|||||executar| as atividades de gestão técnico-administrativas, suporte e apoio logístico à atividade de inteligência;
|1|||||PPF|||3|planejar| as atividades de análise, classificação, subclassificação, pesquisa e arquivamento de impressões digitais, por meios convencionais e eletrônicos;
Especial||||||PPF|||3|coordenar, supervisionar e controlar| as atividades da identificação criminal e civil no âmbito da polícia federal;
Especial||||APF|EPF|PPF|||2|coordenar e executar| atividades administrativas referentes ao controle migratório;
|1|2|3|APF|EPF|||||executar| atividades administrativas referentes ao controle migratório;
Especial||||APF|EPF|PPF|||3|coordenar, planejar, orientar e executar| atividades administrativas para emissão de documentos de viagem;
|1|||APF|EPF|||||planejar, orientar e executar| atividades administrativas para emissão de documentos de viagem;
||2||APF|EPF|||||orientar e executar| atividades administrativas para emissão de documentos de viagem;
|||3|APF|EPF|||||executar| atividades administrativas para emissão de documentos de viagem;
||2||APF|||||6|supervisionar e executar| atividades administrativas de controle nacional de armas de fogo, ressalvadas as competências das forças armadas; 
Especial|1|2||APF|EPF|PPF||||organizar e executar| atividades administrativas de controle nacional de armas de fogo, ressalvadas as competências das forças armadas; 
|||3|APF|EPF|||||executar| atividades administrativas de controle nacional de armas de fogo, ressalvadas as competências das forças armadas; 
||2||||PPF|||3|orientar| a análise, classificação, subclassificação, pesquisa e arquivamento de impressões digitais, por meios convencionais e eletrônicos;
|1|||||PPF|||4|planejar| as ações que envolvam o funcionamento e o aperfeiçoamento do sistema nacional de informações criminais - sinic, do sistema automatizado de identificação de digitais - afis e do e do registro de identificação civil ric; 
Especial||||||PPF|||5|coordenar| as ações que envolvam o funcionamento e o aperfeiçoamento do banco de dados do sistema nacional de informações criminais - sinic, do sistema automatizado de identificação de digitais - afis, e do registro de identificação civil ric; 
Especial||||APF|||||7|coordenar, planejar, supervisionar, orientar, executar| ações operacionais relacionadas com a prevenção e repressão de ilícitos penais;
|1|||APF||||||planejar, supervisionar, orientar, executar| ações operacionais relacionadas com a prevenção e repressão de ilícitos penais;
||2||APF||||||supervisionar, executar| ações operacionais relacionadas com a prevenção e repressão de ilícitos penais;
||2|3|APF|EPF|||||executar| ações operacionais relacionadas com a prevenção e repressão de ilícitos penais;
|1|||||PPF|||10|planejar| ações estratégicas e de interesse da polícia federal com base nos levantamento de dados estatísticos das atividades de identificação civil e criminal, e de polícia judiciária e administrativa.
Especial||||||PPF|||11|coordenar| as ações estratégicas e de interesse da polícia federal com base no levantamento de dados estatísticos das atividades de identificação civil e criminal, e de polícia judiciária e administrativa;
Especial||||||PPF|||6|supervisionar| as ações e operações relacionadas à perícia papiloscópica;
|1|||||PPF||||planejar| as ações e operações relacionadas à perícia papiloscópica;
||2||||PPF||||orientar| as ações e operações relacionadas à perícia papiloscópica;
||2||||PPF|||8|orientar| as ações de identificação civil, criminal e necropapiloscópica de responsabilidade da polícia federal;
|1|||||PPF|||7|planejar| as ações de identificação civil e criminal de responsabilidade da polícia federal;
Especial||||APF|EPF|PPF|||8|coordenar, planejar, supervisionar e executar| ações administrativas de fiscalização de empresas com atividade controlada pelo departamento de polícia federal; 
|1|||APF|EPF|||||planejar, supervisionar e executar| ações administrativas de fiscalização de empresas com atividade controlada pelo departamento de polícia federal; 
||2||APF|EPF|||||supervisionar e executar| ações administrativas de fiscalização de empresas com atividade controlada pelo departamento de polícia federal; 
|||3|APF|EPF|||||executar| ações administrativas de fiscalização de empresas com atividade controlada pelo departamento de polícia federal; 
||2|3||EPF|PPF|||0||a instauração e presidência de procedimentos policiais de investigação e a participação em procedimentos disciplinares,
